,spread,growth
2024-04-24,-1.5486700000000004,1.7670019294353523
2024-05-01,-1.6913400000000003,0.059725548057798505
2024-05-08,-0.3042499999999997,0.432023902450851
2024-05-15,-0.39703,-0.2509974431443851
2024-05-22,-1.21101,0.797802023950922
2024-05-29,-3.2285400000000006,-0.1218868593682032
2024-06-05,-1.9384800000000002,0.5864831775518553
2024-06-12,-2.02602,0.18058637867000016
2024-06-19,-1.6260699999999995,0.6269695928448726
2024-06-26,-1.7727499999999994,0.129338782527455
2024-07-03,-1.4932699999999999,-0.09724519834151124
2024-07-10,0.13004000000000016,0.7521769677371282
2024-07-17,-0.5104899999999999,0.6956110051504538
2024-07-24,-1.43459,0.9145959432800055
2024-07-31,0.11842000000000041,-0.5007784445115959
2024-08-07,1.4114999999999998,0.43178982197318305
2024-08-14,1.4702300000000004,1.171388634150361
2024-08-21,0.8483599999999996,0.9383262033271222
2024-08-28,0.7149000000000001,0.2518673625598211
2024-09-04,1.0627300000000002,0.31946349014830844
2024-09-11,1.6494099999999996,0.57086110363187
2024-09-18,1.1886900000000002,0.40157783159529004
2024-09-25,0.5002300000000002,0.5316379445190478
2024-10-02,0.23850000000000016,0.20561283156865784
2024-10-09,0.33079000000000036,-0.005595339916197872
2024-10-16,0.36770999999999976,-0.11160761385156093
2024-10-23,-0.02587000000000028,0.17159962819022212
2024-10-30,0.16951999999999945,0.1933774643671171
2024-11-06,-2.9044599999999994,1.2321846952819016
2024-11-13,-7.4153199999999995,3.3490503768721425
2024-11-20,-0.0394899999999998,2.8059502616187615
2024-11-27,-3.5668499999999996,3.540645860870484
2024-12-04,-4.59287,1.5313202845955942
2024-12-11,-10.76169,2.6973210472036158
2024-12-18,-8.25896,2.343674102274207
2024-12-25,-5.873259999999999,0.39780204518216067
2025-01-01,-5.77571,-0.5392958063861641
2025-01-08,-4.3527,1.348072056285332
2025-01-15,-4.06206,0.07869792032124678
2025-01-22,-3.64393,2.8412033815214954
2025-01-29,-2.22766,1.5091150581763912
2025-02-05,-0.6696800000000005,2.1505341546880885
2025-02-12,0.2424400000000002,1.4512126253858781
2025-02-19,-0.10458999999999996,0.25407318736867524
2025-02-26,-0.5740499999999997,-0.13260893463957757
2025-03-05,0.81969,-0.17572476547265126
2025-03-12,1.8315099999999997,1.1021607162319924
2025-03-19,1.9727300000000003,0.9632723305177393
2025-03-26,1.3461100000000004,1.715862299120019
2025-04-02,1.3473099999999998,-0.1727134406984021
2025-04-09,1.5631700000000004,-0.275256762412468
2025-04-16,1.60324,0.29509704908541323
