date,sc_B,dep_B,sc_B_idx,dep_B_idx
2019-08-14,2.053845241,12819.3109,1.5692778874432904,72.36717086320311
2019-08-21,2.050006403,12818.3989,1.566344753307077,72.3620224694757
2019-08-28,2.06989066,12849.7693,1.5815376822558749,72.53911366529397
2019-09-04,2.115653547,12896.3945,1.6165036500907737,72.8023207784728
2019-09-11,2.171769662,12868.8625,1.6593801904652803,72.64689799765813
2019-09-18,2.466323452,12910.3533,1.8844393819185548,72.88112055737865
2019-09-25,2.455033274,12978.4383,1.8758129156556569,73.26547185883754
2019-10-02,2.527765719,13040.3191,1.9313854657970753,73.6147994055118
2019-10-09,2.625831625,13038.1325,2.0063145085145115,73.60245567993687
2019-10-16,2.662013896,13067.4565,2.0339602320891537,73.76799460281241
2019-10-23,2.743325924,13066.9543,2.0960881689834845,73.76515959916118
2019-10-30,3.205457707,13037.9634,2.4491883800751153,73.60150108193324
2019-11-06,3.219010591,13095.9943,2.4595437080948295,73.92909529416546
2019-11-13,3.204676738,13135.8604,2.4485916664776086,74.15414614852531
2019-11-20,3.204264739,13145.7956,2.448276871133032,74.21023202721011
2019-11-27,3.291239451,13184.1044,2.5147314849392277,74.4264916605703
2019-12-04,3.327618199,13169.2423,2.5425273303464877,74.34259260090353
2019-12-11,3.663457185,13199.3919,2.7991312282207854,74.51279217494282
2019-12-18,3.661543046,13193.883,2.7976686954329057,74.48169350585849
2019-12-25,3.775789033,13193.9727,2.8849604239182236,74.48219987747838
2020-01-01,3.786582142,13200.4212,2.893207095552654,74.5186027469424
2020-01-08,4.850513062,13262.0486,3.706122904978627,74.86649980790338
2020-01-15,4.797832301,13297.4572,3.665871209436691,75.06638732340367
2020-01-22,4.829620557,13294.9795,3.690159605770243,75.05240028926069
2020-01-29,4.847931039,13283.4278,3.7041500632484494,74.98718899559744
2020-02-05,4.825986601,13328.1249,3.6873830154600764,75.23951165927429
2020-02-12,4.825557348,13329.7465,3.6870550368823474,75.24866586461239
2020-02-19,4.839568165,13371.19,3.6977602569564803,75.48262140785998
2020-02-26,4.836753294,13349.2665,3.695609503468279,75.3588595549183
2020-03-04,4.877879992,13443.7582,3.7270331066037983,75.89228112901046
2020-03-11,4.878219369,13478.6169,3.727292413785749,76.08906436631918
2020-03-18,5.02568372,13758.9237,3.8399652386855463,77.67144350104456
2020-03-25,5.060457742,14118.3037,3.866534963946587,79.70020417840811
2020-04-01,5.060280836,14268.02,3.8663997956931992,80.54537792820045
2020-04-08,7.117421023,14254.7317,5.438195246677744,80.47036323481458
2020-04-15,7.170281646,14629.9556,5.478584369058741,82.58856539833785
2020-04-22,7.368318966,14874.6516,5.629898392608644,83.96991556447996
2020-04-29,8.157935157,15005.8183,6.233219033992596,84.71037369553773
2020-05-06,8.870361066,15181.9679,6.777561033631792,85.704767879447
2020-05-13,9.684924804,15267.8808,7.399943302966832,86.18976068149017
2020-05-20,9.936944687,15321.5268,7.59250368760194,86.49260139410033
2020-05-27,10.039751391,15360.6679,7.67105502343169,86.71355950125364
2020-06-03,10.240976588,15363.9241,7.824804802502079,86.73194129912116
2020-06-10,10.385074045,15439.2207,7.93490509067998,87.15700329817278
2020-06-17,10.591070837,15515.5435,8.092300693871806,87.58785836920146
2020-06-24,10.840235419,15571.2984,8.282679433740382,87.9026041777894
2020-07-01,10.928989246,15548.3739,8.350493412786463,87.77319151111843
2020-07-08,11.139892666,15585.5769,8.511638014524332,87.98320871708412
2020-07-15,11.308327389,15593.892,8.64033363433298,88.03014885818364
2020-07-22,11.445302004,15495.9829,8.744991585267929,87.47743548505198
2020-07-29,12.089969289,15445.6114,9.237561373347985,87.193079876894
2020-08-05,12.81100099,15509.2186,9.7884787852042,87.55215324257155
2020-08-12,13.581680352,15521.4609,10.377330397269503,87.62126308964285
2020-08-19,14.487460614,15541.5851,11.069408314175801,87.73486759079317
2020-08-26,14.896272839,15554.078,11.381768745235656,87.80539211710581
2020-09-02,14.917237351,15593.6649,11.397787062704708,88.0288668404035
2020-09-09,15.837938987,15652.399,12.101265927355765,88.36043073516764
2020-09-16,16.943791198,15729.6948,12.94621246318026,88.79677855520592
2020-09-23,18.094679021,15713.5441,13.825569279121414,88.70560513133175
2020-09-30,18.358207348,15684.3492,14.026922900134586,88.54079499971743
2020-10-07,18.723302384,15690.1303,14.305880416199019,88.57343028368399
2020-10-14,19.185797588,15795.1825,14.659258305728997,89.16646766036197
2020-10-21,19.642772385,15795.039,15.008418227681942,89.1656575786735
2020-10-28,19.977026717,15827.7707,15.26381134178743,89.35043354245352
2020-11-04,20.500497268,15876.4657,15.663778556460379,89.6253250255194
2020-11-11,20.95661873,15878.4173,16.01228647225465,89.63634213648255
2020-11-18,21.48904481,15898.9609,16.41909632207338,89.75231422132725
2020-11-25,22.529331095,15978.9354,17.213946017207263,90.20378375438924
2020-12-02,23.312857478,15967.6477,17.812613629802872,90.14006278522602
2020-12-09,23.685435863,15995.224,18.097288935053797,90.29573564700793
2020-12-16,24.276477233,16027.5568,18.548884865452912,90.47825975304904
2020-12-23,24.860494095,16017.9693,18.995113592493897,90.42413669947283
