date_utc,hhi_B,top5_share_B
2023-03-28 00:00:00+00:00,0.43936968546193,0.8847001359343424
2023-03-29 00:00:00+00:00,0.46222364025717017,0.8320394269408938
2023-03-30 00:00:00+00:00,0.458650880669864,0.9001077519761825
2023-03-31 00:00:00+00:00,0.4585332433126996,0.9069581237919643
2023-04-01 00:00:00+00:00,0.49989371929294446,0.8199882924061059
2023-04-02 00:00:00+00:00,0.4944877098556935,0.8316465237792358
2023-04-03 00:00:00+00:00,0.4542339572082148,0.8961261095373371
2023-04-04 00:00:00+00:00,0.46493519284067325,0.8764621676986318
2023-04-05 00:00:00+00:00,0.49280583482331985,0.8946462114066922
2023-04-06 00:00:00+00:00,0.4605058938332768,0.8964519360510457
2023-04-07 00:00:00+00:00,0.44846783134272417,0.8152278032701227
2023-04-08 00:00:00+00:00,0.5050374138888869,0.7683891113956142
2023-04-09 00:00:00+00:00,0.5150523498306504,0.8293903350201367
2023-04-10 00:00:00+00:00,0.4688333935810955,0.9241595931127182
2023-04-11 00:00:00+00:00,0.491332474108674,0.8819715839305361
2023-04-12 00:00:00+00:00,0.4878806925791983,0.926752729786464
2023-04-13 00:00:00+00:00,0.4520274036408891,0.8894088007054789
2023-04-14 00:00:00+00:00,0.43973975468125326,0.876944928919626
2023-04-15 00:00:00+00:00,0.5400663373152113,0.8667936624153771
2023-04-16 00:00:00+00:00,0.4944574625981687,0.792303493734713
2023-04-17 00:00:00+00:00,0.42710482837880037,0.8155189025811375
2023-04-18 00:00:00+00:00,0.4517970692153073,0.8807471179598589
2023-04-19 00:00:00+00:00,0.4533739993137522,0.8625087158068279
2023-04-20 00:00:00+00:00,0.5162410680950084,0.917225619721316
