date_utc,dex_volume_usd,defi_dollar_collateral_usd,liquidations_usd
2023-12-13,4584382858,26832713214,2693417.703305712
2023-12-14,4375245892,27569555640,885503.9156968284
2023-12-15,4546028598,28184966889,2961376.6762566892
2023-12-16,3796754562,27147467448,812008.9938593273
2023-12-17,3255106649,27343778093,694270.653117168
2023-12-18,4393685421,27056274147,3538.4639523230812
2023-12-19,4024236778,27523956904,655637.6303708387
2023-12-20,4999468176,27379614438,2623548.2002012944
2023-12-21,5130379323,27742243368,221102.74645718336
2023-12-22,6926093313,27915752419,53496.91467047542
2023-12-23,4236475255,28759068515,522188.0885588069
2023-12-24,4952343891,28651410873,465846.6504176826
2023-12-25,4344711121,28301420148,1945981.5567034842
2023-12-26,5478567693,28411532283,26971.600961688055
2023-12-27,5812610483,27989968201,2527595.7582687647
2023-12-28,6359437052,29531852945,1142260.1440340383
2023-12-29,5275486099,29097350503,2345763.9676110493
2023-12-30,3215764080,28575901139,935292.8102877466
2023-12-31,3253504735,28554978275,1671065.0088772695
2024-01-01,2640397474,28452353833,408786.4278983972
2024-01-02,4937179224,29566121523,430115.79716971243
2024-01-03,7513033023,29705978670,494090.1632772272
2024-01-04,5483876386,28079288363,1405669.1727591956
2024-01-05,5126265746,29167060538,460910.97211512644
2024-01-06,3083671537,29170692765,277361.9175724997
2024-01-07,3118160062,28955946173,2775286.0654508923
2024-01-08,5657530789,28576553020,2386087.1837890055
2024-01-09,6455918319,29743089780,428934.34281426395
2024-01-10,7796918982,29944709184,1006866.82836449
2024-01-11,6790051377,32301713778,319987.94845127733
2024-01-12,6969932755,32517438048,230816.82662809262
2024-01-13,3726251398,31206398679,409984.59913459053
2024-01-14,3357996378,31704106608,396158.3892032456
2024-01-15,3591457642,30942434838,2139413.2368704975
2024-01-16,3523612418,31248326423,1727680.0112648164
2024-01-17,3724999232,31758842527,1236575.9873818823
2024-01-18,4134328745,31199813461,3202638.9900804455
2024-01-19,4272476919,30740310961,549121.9097210895
2024-01-20,2455242275,31016575599,281081.2903669873
2024-01-21,2429528424,30990072543,124881.41146107143
2024-01-22,4590159491,30893560842,358180.8747137832
2024-01-23,5162884456,29766175093,156962.3184133464
2024-01-24,3252512010,29120023679,96715.87443545573
2024-01-25,3307874697,28991089821,923648.2237264265
2024-01-26,3467708447,28907764223,452851.491405579
2024-01-27,2188161606,29705228978,831422.0171962956
2024-01-28,2608297659,29770856605,212371.4304019158
2024-01-29,3424720073,29651259919,1129811.5420411795
2024-01-30,3685124078,30299215651,242715.65046051162
2024-01-31,4578524421,30321319122,325762.81893909804
2024-02-01,3557561124,29574321713,1353867.5286016911
2024-02-02,3231340270,30025578662,820385.0377071482
2024-02-03,2298564568,30166976683,407722.27288956835
2024-02-04,2200040147,29925650367,783047.3425362088
2024-02-05,2872064594,29868188423,1184120.1876199094
2024-02-06,2871972700,31248199532,2431920.973132508
2024-02-07,3317019160,32634263738,869200.1382865912
2024-02-08,3476946585,33487625550,264859.66795931564
2024-02-09,4023413302,34348981630,1373171.3685894962
2024-02-10,2650375274,35637332051,1504037.9765494452
2024-02-11,3030475174,35876033237,223645.3208828246
2024-02-12,3941679091,36049393449,1717993.6366599144
2024-02-13,3839116576,37784803671,625366.7726258929
2024-02-14,3922405617,37507510407,1513067.6678286274
2024-02-15,4461138222,39433317292,271124.206958697
2024-02-16,3870889874,39828830603,404336.15019754675
2024-02-17,2799322171,39591200236,3072551.1015025945
2024-02-18,3026910701,39471444422,1072403.9662726827
2024-02-19,4038242594,40668607456,1482267.2146507408
2024-02-20,5119679437,41563523035,1165952.6295453825
2024-02-21,4621381205,42204424244,228538.22373888662
2024-02-22,4545215475,41943992775,636178.6429221446
2024-02-23,4024186181,42157275883,1655292.7207159174
2024-02-24,3306991746,41455486434,1124038.1852918332
2024-02-25,3667995471,42320807586,6046.126696244085
2024-02-26,5341919389,43582519551,91466.09469403757
2024-02-27,6512587707,44809336196,425863.8349631347
2024-02-28,9427293139,45920075053,2888952.478684186
2024-02-29,8714649693,47838470345,675681.5583548627
2024-03-01,6491220405,47545698975,314952.2362297328
2024-03-02,5843296358,49068637306,446949.38353443396
2024-03-03,6493722321,48875250802,236548.78576659347
2024-03-04,8490707796,49871484098,546798.382998159
2024-03-05,13781075377,51718474482,245945.85858074334
2024-03-06,12298968102,50616290907,1869196.8711289305
2024-03-07,10370862131,54160367249,609303.5805916615
2024-03-08,8349107887,54383764669,328229.13037580246
2024-03-09,5390647553,55090305911,2701446.773919725
2024-03-10,6996971415,55445219228,377389.95976588526
2024-03-11,8839452604,55142896948,2404780.202100809
2024-03-12,8867241421,57677257699,44388.8596545534
2024-03-13,8278906152,56248116466,1227975.4442500954
2024-03-14,10052863071,56468162068,661433.4959879274
2024-03-15,13373097483,54953025098,587384.6561088476
2024-03-16,10689016037,53233320858,36999.46008954107
2024-03-17,9292031979,50571846323,41533.90462998878
2024-03-18,9419254087,52122867571,404595.91156186437
2024-03-19,12078454949,50406443763,2939721.3827850525
2024-03-20,8596514158,46235395891,961444.9540253559
2024-03-21,6658594393,51244844964,460251.08695092297
2024-03-22,7762876167,50595824023,946690.7634162517
2024-03-23,4608124647,48656638665,230837.49428634573
2024-03-24,5099084173,49341536540,180403.12954646753
2024-03-25,7832398719,50713244142,449130.61898460775
2024-03-26,7683932735,52901158819,1990356.8933664432
2024-03-27,7870202000,53141443621,712129.668057187
2024-03-28,6902255741,52161395040,352258.30602576275
2024-03-29,6721601327,53205271709,3000777.4806175856
2024-03-30,5166981671,52608904464,1692635.2430657237
2024-03-31,4762915375,52715028056,390045.51759700215
2024-04-01,6681354853,54528007015,3579065.697078591
2024-04-02,9231916894,52873758477,4370184.852585773
2024-04-03,7194928791,49971162061,525364.357061215
2024-04-04,6740135865,50594726057,1066890.1084747615
2024-04-05,6139947407,50970380500,520292.2889971361
2024-04-06,4171228079,51260181361,297527.8578339863
2024-04-07,4761066427,51706516131,86269.11725968271
