entity,month,n_transfers,tier,token,volume_usd
Bybit,2023-05-01 00:00:00.000 UTC,17165,2,USDC,768370543.177857
Bybit,2023-06-01 00:00:00.000 UTC,57705,2,USDT,1035198712.085588
Bybit,2023-06-01 00:00:00.000 UTC,7830,2,USDC,1156597415.282574
Bybit,2023-07-01 00:00:00.000 UTC,43657,2,USDT,1085531990.535601
Bybit,2023-07-01 00:00:00.000 UTC,8372,2,USDC,1095409697.897389
Bybit,2023-08-01 00:00:00.000 UTC,10916,2,USDC,1120340393.525322
Bybit,2023-08-01 00:00:00.000 UTC,67265,2,USDT,1107379552.919343
Bybit,2023-09-01 00:00:00.000 UTC,50884,2,USDT,903574282.528471
Bybit,2023-09-01 00:00:00.000 UTC,6870,2,USDC,733397683.877599
Bybit,2023-10-01 00:00:00.000 UTC,18876,2,USDC,1291407349.669582
Bybit,2023-10-01 00:00:00.000 UTC,108867,2,USDT,1186099721.117274
Bybit,2023-11-01 00:00:00.000 UTC,16108,2,USDC,1596763942.901222
Bybit,2023-11-01 00:00:00.000 UTC,88001,2,USDT,1762596281.13322
Bybit,2023-12-01 00:00:00.000 UTC,29511,2,USDC,1774425589.906786
Bybit,2023-12-01 00:00:00.000 UTC,105098,2,USDT,2239137961.239243
Bybit,2024-01-01 00:00:00.000 UTC,27391,2,USDC,1973882602.782662
Bybit,2024-01-01 00:00:00.000 UTC,107763,2,USDT,2199276957.575619
Bybit,2024-02-01 00:00:00.000 UTC,21415,2,USDC,2373236223.550383
Bybit,2024-02-01 00:00:00.000 UTC,79470,2,USDT,2500620940.909357
Bybit,2024-03-01 00:00:00.000 UTC,20286,2,USDC,3408378261.05402
Bybit,2024-03-01 00:00:00.000 UTC,112101,2,USDT,4261531867.174351
Bybit,2024-04-01 00:00:00.000 UTC,95884,2,USDT,4286750021.950795
Bybit,2024-04-01 00:00:00.000 UTC,30948,2,USDC,3218863112.693654
Bybit,2024-05-01 00:00:00.000 UTC,38881,2,USDC,2731563855.314698
Bybit,2024-05-01 00:00:00.000 UTC,75038,2,USDT,3949943506.926933
Bybit,2024-06-01 00:00:00.000 UTC,89707,2,USDT,4319986252.303772
Bybit,2024-06-01 00:00:00.000 UTC,27610,2,USDC,2946772804.852776
Bybit,2024-07-01 00:00:00.000 UTC,80859,2,USDT,4372022591.892986
Bybit,2024-07-01 00:00:00.000 UTC,28362,2,USDC,3286423905.227957
Bybit,2024-08-01 00:00:00.000 UTC,82219,2,USDT,4758536405.085065
Bybit,2024-08-01 00:00:00.000 UTC,25162,2,USDC,3569168404.123567
Bybit,2024-09-01 00:00:00.000 UTC,78519,2,USDT,3596748238.151432
Bybit,2024-09-01 00:00:00.000 UTC,22594,2,USDC,2627283369.850583
Robinhood,2024-09-01 00:00:00.000 UTC,1,2,USDT,10.0
