address,flow_symmetry,in_degree,inflow_usd,n_transfers,out_degree,outflow_usd,total_volume_usd
0xba12222222228d8ba445958a75a0704d566bf2c8,0.999779047736562,1146,6364966725.460626,85683,1980,6366373390.0710535,12731340115.53168
0xafe8855fb6490dda3d47c49d3ac415bdbeded1cb,0.9999999999962392,5,6192966901.50112,218,1,6192966901.477829,12385933802.978949
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,0.9981516968013917,6875,5931944969.144915,77568,1722,5942929304.387317,11874874273.53223
0xf1edbf98dda764ec51de3776371f0f7d6f6156a8,0.9983315443727876,11,5863002896.50456,175,7,5853220736.329525,11716223632.834085
0xe0554a476a092703abdb3ef35c80e0d76d32939f,0.9998453166321838,25677,5797829392.962884,667479,17181,5796932565.186357,11594761958.14924
0xc4922d64a24675e16e1586e3e3aa56c06fabe907,0.9999999999999998,11219,5699859162.18333,176456,1,5699859162.183329,11399718324.366657
0xa03400e098f4421b34a3a44a1b4e571419517687,0.9999220592460383,28109,5282132865.464024,126341,16442,5282544590.9722805,10564677456.436304
0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0.9994728093284958,759,5226319403.545451,71602,749,5229076123.69845,10455395527.2439
0x84b38bc60f3bd82640ecefa320dab2be62e2da15,0.9999999998252852,22,5196914082.167023,8002,2,5196914081.259045,10393828163.426067
0xce795fc86e6dd486622ee2d9ec1e2e8ba90de271,0.9999999999999998,10,5171254362.459131,2495,1,5171254362.45913,10342508724.918262
0xf2eb2aa3727187edd69285ce7e7fdfe2e494abce,1.0,1,5030000049.0,48,1,5030000049.0,10060000098.0
0x33566c9d8be6cf0b23795e0d380e112be9d75836,0.9919332667113036,170,5020402477.185375,1989,231,4979904229.40001,10000306706.585384
0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0.9803491771338709,7,4851011223.665613,360,6,4948248376.0,9799259599.665613
0x1522900b6dafac587d499a862861c0869be6e428,0.999933803795578,12071,4733101240.466506,68824,2,4733414574.545297,9466515815.011803
0x48ec5560bfd59b95859965cce48cc244cfdf6b0c,0.9979258558906977,4,4736322801.59948,33731,7181,4726498985.560788,9462821787.160267
0xa294cca691e4c83b1fc0c8d63d9a3eef0a196de1,0.9999547429513759,33,4677513252.865358,16281,150,4677724952.891002,9355238205.75636
